Sl. No.,State/UT,2016 - CR,2016 - Rate,2017 - CR,2017 - Rate,2018 - CR,2018 - Rate,2019 - CR,2019 - Rate,2020 - CR,2020 - Rate
1,Andhra Pradesh,129389,250.1,148002,283.9,144703,278.1,145751,278.6,238105,452.7
2,Arunachal Pradesh,2700,204.9,2746,206.3,2817,188.7,2877,190.9,2503,164.5
3,Assam,107014,328.5,109952,333.9,120573,354.2,132783,385.8,121609,349.5
4,Bihar,189696,181.9,236055,223.9,262815,222.1,269109,224,257512,211.3
5,Chhattisgarh,84192,324,90516,344.3,98233,345.1,96561,334.7,103173,352.9
6,Goa,3706,186.7,3943,193.5,3884,253.2,3727,241.5,4366,281.1
7,Gujarat,435422,690.3,334799,525,393194,584.1,431066,631.6,699619,1011.4
8,Haryana,143111,518.3,224816,802.9,191229,673.3,166336,577.4,192395,658.6
9,Himachal Pradesh,17249,242.4,17796,248.2,19594,269.6,19924,272.4,20630,280.2
10,Jharkhand,47817,141.5,52664,153.9,55664,150.3,62206,165.5,63570,166.8
11,Karnataka,179479,286.9,184063,291.7,163416,249.7,163691,248.1,150080,225.7
12,Kerala,707870,1980.3,653500,1818.4,512167,1463.2,453083,1287.7,554724,1568.4
13,Madhya Pradesh,365154,466.6,379682,478.6,405129,497.3,395619,478.9,428046,511.1
14,Maharashtra,430866,357.4,467753,383.4,515674,424.8,509433,415.8,539003,435.8
15,Manipur,4098,157.6,4250,161.7,3781,122.8,3661,117.7,2986,95
16,Meghalaya,3582,128.7,3952,140.5,3482,108.8,3897,120.6,3744,114.7
17,Mizoram,2800,262.4,2738,254,2351,198.6,2880,241,2289,189.6
18,Nagaland,1908,79.9,1553,64.4,1775,83.2,1661,77.1,1511,69.4
19,Odisha,103565,243.2,103866,242,107408,246.6,121525,277.9,134230,295.2
20,Punjab,57739,197.7,70673,239.9,70318,236.8,72855,243.3,82875,274.6
21,Rajasthan,251147,342.7,245553,330.7,250546,327.1,304394,392.3,260378,331.2
22,Sikkim,1020,157.2,979,149.2,869,131.9,821,123.5,675,100.4
23,Tamil Nadu,467369,672.3,420876,602.6,499188,661.5,455094,600.3,1377681,1808.8
24,Telangana,120273,326.4,133197,358.7,126858,342.6,131254,352,147504,393
25,Tripura,4081,106.3,4238,109.2,6078,153.4,5988,149.6,4653,115.1
26,Uttar Pradesh,494025,225.3,600082,269.6,585157,262.4,628578,278.2,657925,287.4
27,Uttarakhand,16074,150.5,28861,267.1,34715,314,28268,252.8,57332,506.8
28,West Bengal,204400,217.8,195537,206.7,188063,194.9,188049,193.6,182367,186.6
Total State(S),Total State(S),4575746,366.8,4722642,374.4,4769681,367,4801091,365.5,6291485,478.4
29,Andaman and Nicobar Islands,2491,449.6,3014,531.6,3699,934.1,4034,1013.6,2542,637.1
30,Chandigarh,4256,236.3,5462,289.5,5967,510,4518,381.6,3254,271.6
31,Dadra and Nagar Haveli and Daman and Diu,543,71.5,691,87.4,649,70.5,660,67.4,533,51.3
32,Delhi,216920,1009.3,244714,1107.1,262612,1342.5,316261,1586.1,266070,1309.5
33,Jammu and Kashmir,26624,213.6,25608,203.4,27276,203.1,25408,187.8,28911,216.7
34,Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,403,136.1
35,Lakshadweep,50,61,114,139,77,114.9,182,267.6,147,216.2
36,Puducherry,4885,290.3,4799,273.4,4674,315.6,4004,264.3,7940,512.6
Total UT(S),Total UT(S),255769,969.9,284402,1046.1,304954,1292.5,355067,1474.3,309800,810.8
Total (All India),Total (All India),4831515,379.2,5007044,388.6,5074635,383.5,5156158,385.5,6601285,487.8
